# of Use,# Penggunaan
%1$s incl tax.,% 1 $ s termasuk pajak.
%s - %s,% S -% s
%s Item(s),% S Item (s)
(Copy data from: %s),(Copy data dari:% s)
Yes/No,Ya Tidak
You cannot delete this attribute,Anda tidak dapat menghapus atribut ini
You cannot edit this attribute,Anda tidak dapat mengedit atribut ini
You cannot remove system attribute from this set.,Anda tidak dapat menghapus sistem atribut dari set ini.
You cannot update this attribute,Anda tidak dapat memperbarui atribut ini
You have no items to compare.,Anda tidak memiliki item untuk membandingkan.
You may also be interested in the following product(s),Anda juga mungkin tertarik pada produk berikut (s)
Zoom In,Perbesar
Zoom Out,Zoom Out
[GLOBAL],[GLOBAL]
and,dan
and above,dan di atas
cache refresh needed,Cache penyegaran dibutuhkan
categories,kategori
comma separated,dipisahkan koma
each,masing-masing
ex. http://domain.com,ex. http://domain.com
leave blank if its not an image,kosongkan jika tidak gambar
must be in the allowed values list,harus berada dalam daftar nilai diperbolehkan
per page,per halaman
products,produk
px.,px.
save,menyimpan
select all,pilih Semua
unselect all,unselect semua
x,x
Description,Deskripsi
Short Description,Deskripsi Singkat
Tax Class,Kelas Pajak
There are no products matching the selection.,Tidak ada produk yang cocok dengan pilihan.
Availability:,Ketersediaan:
Qty:,Qty:
Compare Products,Bandingkan Produk
You have no items to compare.,Anda tidak memiliki item untuk membandingkan.
Site Map,Peta situs
Go to Home Page,Pergi ke Halaman
Home,Rumah
Our customer service is available 24/7. Call us at (555) 555-0123.,Layanan pelanggan kami tersedia 24/7. Hubungi kami di (555) 555-0123.
Categories,Kategori
Keep your eyes open for our special Back to School items and save A LOT!,Jauhkan mata Anda terbuka untuk Kembali khusus untuk item Sekolah dan menyimpan banyak!
Categories Sitemap,Kategori Sitemap
Are you sure you would like to remove all products from your comparison?,Apakah Anda yakin ingin menghapus semua produk dari perbandingan Anda?
Clear All,Bersihkan Semua
Products Sitemap,Produk Sitemap
